id,ra,dec,maj_ax,min_ax
NGC3767,11:37:15.56,+16:52:37.8,0.98,0.7
NGC3768,11:37:14.48,+17:50:23.6,1.36,0.84
NGC3769,11:37:44.11,+47:53:35.1,2.82,0.89
NGC3769A,11:37:51.36,+47:52:52.8,0.92,0.37
NGC3770,11:37:58.74,+59:37:00.9,0.95,0.63
NGC3771,11:39:06.00,-09:20:53.5,1.47,0.86
NGC3772,11:37:48.48,+22:41:28.6,1.31,0.69
NGC3773,11:38:12.88,+12:06:43.4,1.23,0.97
NGC3774,11:38:30.26,-08:58:34.1,1.11,0.67
NGC3775,11:38:26.70,-10:38:19.6,1.28,0.5
NGC3776,11:38:17.98,-03:21:15.8,0.48,0.38
NGC3777,11:36:06.85,-12:34:08.7,1.18,0.63
NGC3778,11:38:21.41,-50:42:55.3,1.21,0.99
NGC3779,11:38:51.05,-10:35:01.5,1.62,0.82
NGC3780,11:39:22.36,+56:16:14.4,2.64,2.17
NGC3781,11:39:03.76,+26:21:42.3,0.68,0.55
NGC3782,11:39:20.76,+46:30:49.8,1.23,0.64
NGC3783,11:39:01.76,-37:44:19.2,2.15,1.94
NGC3784,11:39:29.80,+26:18:32.9,0.93,0.5
NGC3785,11:39:32.89,+26:18:08.2,1.11,0.44
NGC3786,11:39:42.55,+31:54:33.4,1.96,1.0
NGC3787,11:39:37.95,+20:27:16.9,0.75,0.7
NGC3788,11:39:44.65,+31:55:52.3,2.0,0.58
NGC3789,11:38:09.06,-09:36:25.7,1.8,0.52
NGC3790,11:39:47.26,+17:42:44.1,1.03,0.36
NGC3791,11:39:41.70,-09:22:02.1,1.34,0.92
NGC3792,11:39:38.53,+05:05:58.2,,
NGC3793,11:40:01.99,+31:52:39.8,,
NGC3794,11:40:53.42,+56:12:07.3,2.03,1.12
NGC3795,11:40:06.67,+58:36:47.1,2.1,0.55
NGC3795A,11:39:21.31,+58:16:07.3,2.03,1.48
NGC3796,11:40:31.12,+60:17:56.1,1.46,0.88
NGC3797,11:40:13.31,+31:54:23.6,,
NGC3798,11:40:13.94,+24:41:49.4,2.15,1.01
NGC3799,11:40:09.38,+15:19:38.3,0.67,0.38
NGC3800,11:40:13.51,+15:20:32.5,1.67,0.58
NGC3801,11:40:16.94,+17:43:41.0,2.31,1.29
NGC3802,11:40:18.78,+17:45:55.2,1.04,0.24
NGC3803,11:40:17.25,+17:48:04.5,0.62,0.5
NGC3804,11:40:53.42,+56:12:07.3,,
NGC3805,11:40:41.68,+20:20:34.6,1.53,1.25
NGC3806,11:40:46.63,+17:47:46.6,1.14,0.94
NGC3807,11:41:54.68,+17:49:08.1,,
NGC3808,11:40:44.40,+22:26:16.0,2.2,
NGC3808A,11:40:44.24,+22:25:45.7,0.94,0.73
NGC3808B,11:40:44.64,+22:26:49.0,0.75,0.33
NGC3809,11:41:16.06,+59:53:08.8,1.22,1.12
NGC3810,11:40:58.76,+11:28:16.1,3.35,2.29
NGC3811,11:41:16.63,+47:41:26.9,2.03,1.51
NGC3812,11:41:07.71,+24:49:18.1,1.71,0.52
NGC3813,11:41:18.66,+36:32:48.5,2.12,1.22
NGC3814,11:41:27.68,+24:48:19.5,0.79,0.42
NGC3815,11:41:39.29,+24:48:01.8,1.44,0.77
NGC3816,11:41:48.04,+20:06:13.1,1.7,0.9
NGC3817,11:41:52.95,+10:18:15.8,1.1,0.85
NGC3818,11:41:57.36,-06:09:20.4,2.44,1.55
NGC3819,11:42:05.86,+10:21:04.1,0.9,0.63
NGC3820,11:42:04.91,+10:23:03.3,0.69,0.52
NGC3821,11:42:09.11,+20:18:56.4,1.36,1.01
NGC3822,11:42:11.11,+10:16:40.0,1.36,0.76
NGC3823,11:42:15.10,-13:52:01.0,1.93,1.18
NGC3824,11:42:44.86,+52:46:46.5,1.23,0.69
NGC3825,11:42:23.73,+10:15:50.9,1.35,0.89
NGC3826,11:42:32.85,+26:29:20.0,1.06,0.79
NGC3827,11:42:36.27,+18:50:43.6,1.01,0.73
NGC3828,11:42:58.42,+16:29:15.4,0.77,0.55
NGC3829,11:43:27.28,+52:42:40.1,1.04,0.55
NGC3830,11:42:32.85,+26:29:20.0,,
NGC3831,11:43:18.60,-12:52:42.1,2.28,0.63
NGC3832,11:43:31.44,+22:43:31.6,1.87,1.51
NGC3833,11:43:28.98,+10:09:42.7,1.34,0.67
NGC3834,11:43:37.73,+19:05:25.7,0.86,0.6
NGC3835,11:44:04.90,+60:07:11.2,1.91,0.64
NGC3835A,11:47:22.90,+60:18:01.6,1.1,1.08
NGC3836,11:43:29.80,-16:47:44.0,1.5,
NGC3836 NED01,11:43:29.51,-16:47:39.3,0.43,0.18
NGC3836 NED02,11:43:29.84,-16:47:47.3,1.2,0.93
NGC3837,11:43:56.43,+19:53:40.5,0.93,0.84
NGC3838,11:44:13.76,+57:56:53.6,1.43,0.59
NGC3839,11:43:54.33,+10:47:04.9,1.04,0.51
NGC3840,11:43:58.96,+20:04:37.3,0.79,0.68
NGC3841,11:44:02.15,+19:58:18.8,0.99,0.65
NGC3842,11:44:02.15,+19:56:59.3,2.14,1.49
NGC3843,11:43:54.63,+07:55:32.5,0.99,0.37
NGC3844,11:44:00.79,+20:01:45.6,1.16,0.3
NGC3845,11:44:05.47,+19:59:46.0,0.95,0.47
NGC3846,11:44:29.08,+55:39:08.1,0.97,0.63
NGC3846A,11:44:14.82,+55:02:05.9,1.94,1.55
NGC3847,11:44:13.97,+33:30:52.3,1.52,1.36
NGC3848,11:42:11.11,+10:16:40.0,,
NGC3849,11:45:35.25,+03:13:54.6,0.67,0.4
NGC3850,11:45:35.56,+55:53:12.8,1.71,0.69
NGC3851,11:44:20.42,+19:58:51.1,0.63,0.48
NGC3852,11:42:23.73,+10:15:50.9,,
NGC3853,11:44:28.33,+16:33:29.2,1.43,0.82
NGC3854,11:44:52.05,-09:13:59.8,1.87,1.64
NGC3855,11:44:25.78,+33:21:18.3,1.22,0.95
NGC3856,11:44:13.97,+33:30:52.3,,
NGC3857,11:44:50.15,+19:31:58.3,0.9,0.55
NGC3858,11:45:11.68,-09:18:50.3,1.41,0.77
NGC3859,11:44:52.24,+19:27:15.1,1.05,0.33
NGC3860,11:44:49.16,+19:47:42.1,1.32,0.72
NGC3861,11:45:03.88,+19:58:25.3,2.04,1.01
NGC3862,11:45:05.01,+19:36:22.7,1.09,1.09
NGC3863,11:45:05.52,+08:28:10.2,2.51,0.52
NGC3864,11:45:15.68,+19:23:31.6,0.77,0.58
NGC3865,11:44:52.05,-09:13:59.8,,
NGC3866,11:45:11.68,-09:18:50.3,,
NGC3867,11:45:29.62,+19:24:00.6,1.44,0.82
NGC3868,11:45:29.94,+19:26:40.9,0.84,0.44
NGC3869,11:45:45.56,+10:49:28.6,1.67,0.46
NGC3870,11:45:56.60,+50:11:59.1,1.03,0.75
NGC3871,11:46:10.14,+33:06:31.5,0.94,0.2
NGC3872,11:45:49.06,+13:46:00.1,2.39,1.77
NGC3873,11:45:46.10,+19:46:26.2,1.14,1.06
NGC3874,11:45:37.75,+08:34:26.1,,
NGC3875,11:45:49.45,+19:46:02.7,1.59,0.36
NGC3876,11:45:26.67,+09:09:38.6,1.12,0.64
NGC3877,11:46:07.70,+47:29:39.6,5.36,1.23
NGC3878,11:46:17.78,+33:12:16.1,0.6,0.6
NGC3879,11:46:49.42,+69:23:01.3,2.04,0.5
NGC3880,11:46:22.23,+33:09:42.4,0.94,0.9
NGC3881,11:46:34.41,+33:06:23.1,1.2,1.04
NGC3882,11:46:06.55,-56:23:17.3,3.32,1.82
NGC3883,11:46:47.18,+20:40:31.5,1.77,1.56
NGC3884,11:46:12.18,+20:23:29.9,1.91,1.41
NGC3885,11:46:46.49,-27:55:19.8,2.74,1.11
NGC3886,11:47:05.60,+19:50:13.9,1.35,0.71
NGC3887,11:47:04.57,-16:51:16.6,3.27,2.57
NGC3888,11:47:34.37,+55:58:02.0,1.61,1.31
NGC3889,11:47:48.13,+56:01:06.0,0.73,0.41
NGC3890,11:49:19.85,+74:18:07.9,0.87,0.78
NGC3891,11:48:03.36,+30:21:33.6,1.72,1.29
NGC3892,11:48:00.99,-10:57:43.4,3.08,2.7
NGC3893,11:48:38.19,+48:42:39.0,2.69,1.43
NGC3894,11:48:50.36,+59:24:56.4,2.66,1.83
NGC3895,11:49:04.03,+59:25:57.6,1.19,0.81
NGC3896,11:48:56.39,+48:40:28.8,1.39,0.86
NGC3897,11:48:59.46,+35:00:57.8,1.53,1.16
NGC3898,11:49:15.37,+56:05:03.7,3.47,2.11
NGC3899,11:50:04.45,+26:28:45.3,1.51,0.67
NGC3900,11:49:09.46,+27:01:19.3,2.55,1.25
NGC3901,11:42:49.72,+77:22:21.7,1.37,0.67
NGC3902,11:49:18.76,+26:07:17.8,1.27,0.82
NGC3903,11:49:03.54,-37:31:01.6,1.28,1.11
NGC3904,11:49:13.22,-29:16:36.3,3.47,2.51
NGC3905,11:49:04.91,-09:43:47.4,1.89,1.29
NGC3906,11:49:40.50,+48:25:33.5,1.35,0.84
NGC3907,11:49:30.14,-01:05:11.5,1.06,0.67
NGC3907B,11:49:23.54,-01:05:01.6,1.49,0.41
NGC3908,11:49:52.68,+12:11:09.3,0.65,0.52
NGC3909,11:50:08.14,-48:14:17.3,6.6,
NGC3910,11:49:59.31,+21:20:01.1,1.43,0.94
NGC3911,11:49:22.09,+24:56:18.5,0.87,0.71
NGC3912,11:50:04.45,+26:28:45.3,,
NGC3913,11:50:38.94,+55:21:13.9,1.64,1.38
NGC3914,11:50:32.65,+06:34:03.3,0.84,0.39
NGC3915,11:49:24.53,-05:07:06.4,1.9,0.43
NGC3916,11:50:51.05,+55:08:37.1,1.21,0.31
NGC3917,11:50:45.43,+51:49:28.8,4.61,1.03
NGC3918,11:50:17.95,-57:10:56.4,0.32,
NGC3919,11:50:41.53,+20:00:54.7,0.95,0.87
NGC3920,11:50:05.93,+24:55:12.0,1.05,0.89
NGC3921,11:51:06.87,+55:04:43.5,2.02,1.2
NGC3922,11:51:13.43,+50:09:24.8,1.91,0.65
NGC3923,11:51:01.69,-28:48:21.7,6.89,4.55
NGC3924,11:51:13.43,+50:09:24.8,,
NGC3925,11:51:20.97,+21:53:20.9,1.23,0.82
NGC3926,11:51:27.40,+22:01:37.0,1.2,
NGC3926A,11:51:26.56,+22:01:40.7,0.62,0.51
NGC3926B,11:51:28.23,+22:01:33.5,0.83,0.38
NGC3927,11:31:42.02,+28:09:12.9,,
NGC3928,11:51:47.62,+48:40:59.3,1.36,1.25
NGC3929,11:51:42.53,+21:00:09.8,0.58,0.44
NGC3930,11:51:46.01,+38:00:54.4,2.66,1.98
NGC3931,11:51:13.45,+52:00:03.1,1.13,0.88
NGC3932,11:52:10.84,+48:37:13.4,,
NGC3933,11:52:02.05,+16:48:34.9,1.01,0.5
NGC3934,11:52:12.56,+16:51:05.2,0.92,0.67
NGC3935,11:52:24.07,+32:24:13.7,1.03,0.6
NGC3936,11:52:20.59,-26:54:21.2,4.55,0.78
NGC3937,11:52:42.62,+20:37:52.7,1.75,1.54
NGC3938,11:52:49.45,+44:07:14.6,3.55,3.44
NGC3939,11:49:19.85,+74:18:07.9,,
NGC3940,11:52:46.45,+20:59:21.4,1.22,1.04
NGC3941,11:52:55.36,+36:59:10.8,3.51,2.33
NGC3942,11:51:30.14,-11:25:29.0,1.34,0.69
NGC3943,11:52:56.57,+20:28:44.8,0.97,0.91
NGC3944,11:53:05.08,+26:12:25.0,1.07,0.76
NGC3945,11:53:13.73,+60:40:32.0,5.55,3.29
NGC3946,11:53:20.63,+21:01:17.5,0.66,0.54
NGC3947,11:53:20.32,+20:45:06.2,1.37,0.8
NGC3948,11:53:36.65,+20:57:02.8,,
NGC3949,11:53:41.72,+47:51:31.3,2.26,1.32
NGC3950,11:53:41.41,+47:53:04.5,0.4,0.34
NGC3951,11:53:41.25,+23:22:56.0,1.02,0.51
NGC3952,11:53:40.63,-03:59:47.5,1.63,0.41
NGC3953,11:53:48.92,+52:19:36.4,6.14,3.13
NGC3954,11:53:41.68,+20:52:57.0,0.91,0.75
NGC3955,11:53:57.15,-23:09:51.0,4.15,1.21
NGC3956,11:54:00.69,-20:34:02.4,3.46,1.0
NGC3957,11:54:01.51,-19:34:08.0,3.24,0.61
NGC3958,11:54:33.68,+58:22:01.3,1.26,0.51
NGC3959,11:54:37.65,-07:45:23.4,0.88,0.59
NGC3960,11:50:33.21,-55:40:11.4,6.0,
NGC3961,11:54:57.64,+69:19:48.4,1.3,1.28
NGC3962,11:54:40.10,-13:58:30.1,4.17,3.0
NGC3963,11:54:58.71,+58:29:37.1,2.52,2.22
NGC3964,11:54:53.48,+28:15:44.7,0.89,0.67
NGC3965,11:54:23.11,-10:52:00.7,0.6,0.39
NGC3966,11:56:44.19,+32:01:18.4,2.48,0.52
NGC3967,11:55:10.40,-07:50:37.6,1.28,1.01
NGC3968,11:55:28.70,+11:58:06.1,1.91,1.31
NGC3969,11:55:09.24,-18:55:38.7,1.32,1.16
NGC3970,11:55:28.07,-12:03:40.6,1.19,0.52
NGC3971,11:55:36.39,+29:59:45.3,1.05,0.91
NGC3972,11:55:45.09,+55:19:14.7,3.67,0.99
NGC3973,11:55:37.00,+11:59:50.6,0.69,0.42
NGC3974,11:55:40.14,-12:01:38.8,1.18,0.96
NGC3975,11:55:53.69,+60:31:45.9,0.76,0.42
NGC3976,11:55:57.29,+06:44:58.0,3.13,0.9
NGC3977,11:56:07.20,+55:23:26.8,1.53,1.19
NGC3978,11:56:10.32,+60:31:21.1,1.58,1.46
NGC3979,11:56:01.05,-02:43:15.1,1.23,0.65
NGC3980,11:56:07.20,+55:23:26.8,,
NGC3981,11:56:07.45,-19:53:46.2,3.32,2.11
NGC3982,11:56:28.13,+55:07:30.9,2.13,1.87
NGC3983,11:56:23.68,+23:52:04.6,1.17,0.27
NGC3984,11:55:36.39,+29:59:45.3,,
NGC3985,11:56:42.11,+48:20:02.2,1.06,0.7
NGC3986,11:56:44.19,+32:01:18.4,,
NGC3987,11:57:20.92,+25:11:43.4,2.72,0.68
NGC3988,11:57:24.22,+27:52:39.1,0.76,0.59
NGC3989,11:57:26.69,+25:13:59.1,0.76,0.38
NGC3990,11:57:35.56,+55:27:31.2,1.38,0.81
NGC3991,11:57:31.08,+32:20:16.0,1.8,
NGC3991 NED01,11:57:30.38,+32:20:01.8,1.17,0.29
NGC3991 NED02,11:57:31.73,+32:20:30.2,0.83,0.5
NGC3992,11:57:35.98,+53:22:28.3,8.07,5.64
NGC3993,11:57:37.82,+25:14:26.2,1.68,0.51
NGC3994,11:57:36.87,+32:16:39.4,0.85,0.46
NGC3995,11:57:44.10,+32:17:38.6,2.59,0.95
NGC3996,11:57:46.06,+14:17:50.7,0.83,0.64
NGC3997,11:57:48.23,+25:16:14.3,1.1,0.56
NGC3998,11:57:56.13,+55:27:12.9,2.78,2.26
NGC3999,11:57:56.49,+25:04:05.8,0.63,0.4
NGC4000,11:57:57.02,+25:08:40.1,1.04,0.37
NGC4001,11:58:06.78,+47:20:05.5,0.59,0.4
NGC4002,11:57:59.30,+23:12:07.4,1.34,0.61
NGC4003,11:57:59.04,+23:07:29.6,1.04,0.61
NGC4004,11:58:05.23,+27:52:43.9,1.17,0.51
NGC4004B,11:57:51.38,+27:52:07.2,0.76,0.47
NGC4005,11:58:10.17,+25:07:20.1,1.12,0.74
NGC4006,11:58:05.78,-02:07:12.3,1.52,0.96
NGC4007,11:58:10.17,+25:07:20.1,,
NGC4008,11:58:17.04,+28:11:33.0,2.07,1.11
NGC4009,11:58:15.05,+25:11:23.1,,
NGC4010,11:58:37.89,+47:15:41.4,3.07,0.65
NGC4011,11:58:25.43,+25:05:51.5,0.77,0.37
NGC4012,11:58:27.53,+10:01:17.4,1.73,0.52
NGC4013,11:58:31.38,+43:56:47.7,4.89,1.23
NGC4014,11:58:35.81,+16:10:38.3,1.63,0.99
NGC4015,11:58:42.90,+25:02:25.0,1.4,
NGC4015 NED01,11:58:42.60,+25:02:11.8,1.62,1.26
NGC4015 NED02,11:58:43.22,+25:02:37.8,0.78,0.16
NGC4016,11:58:29.02,+27:31:43.6,0.76,0.47
NGC4017,11:58:45.67,+27:27:08.8,1.57,1.08
NGC4018,11:58:40.70,+25:18:59.1,1.39,0.41
NGC4019,12:01:10.42,+14:06:15.5,1.48,0.3
NGC4020,11:58:56.67,+30:24:42.8,1.87,0.82
NGC4021,11:59:02.59,+25:04:59.6,0.93,0.84
NGC4022,11:59:01.01,+25:13:22.1,1.0,0.96
NGC4023,11:59:05.47,+24:59:20.3,0.92,0.75
NGC4024,11:58:31.25,-18:20:48.6,1.75,1.51
NGC4025,11:59:10.19,+37:47:36.3,1.42,0.92
NGC4026,11:59:25.19,+50:57:42.1,4.41,0.87
NGC4027,11:59:30.17,-19:15:54.8,3.54,2.8
NGC4027A,11:59:29.39,-19:19:55.2,1.11,0.57
NGC4028,11:58:35.81,+16:10:38.3,,
NGC4029,12:00:03.17,+08:10:54.2,1.25,0.6
NGC4030,12:00:23.63,-01:06:00.3,3.78,2.65
NGC4031,12:00:31.35,+31:56:51.3,0.67,0.47
NGC4032,12:00:32.82,+20:04:26.2,1.35,1.06
NGC4033,12:00:34.74,-17:50:33.4,2.59,1.3
NGC4034,12:01:29.66,+69:19:26.1,1.45,0.87
NGC4035,12:00:29.34,-15:56:53.1,1.23,1.11
NGC4036,12:01:26.75,+61:53:44.8,4.85,2.08
NGC4037,12:01:23.67,+13:24:03.7,2.38,2.22
NGC4038,12:01:53.01,-18:52:03.4,5.42,3.78
NGC4039,12:01:53.51,-18:53:10.3,5.36,2.73
NGC4040,12:02:05.44,+17:49:23.6,1.2,0.61
NGC4041,12:02:12.20,+62:08:14.0,2.57,2.39
NGC4042,12:02:46.78,+20:09:47.7,0.41,0.32
NGC4043,12:02:22.96,+04:19:47.3,0.95,0.63
NGC4044,12:02:29.51,-00:12:44.7,1.12,1.03
NGC4045,12:02:42.24,+01:58:36.5,2.55,1.58
NGC4045A,12:02:42.69,+01:57:08.0,0.92,0.42
NGC4046,12:02:42.24,+01:58:36.5,,
NGC4047,12:02:50.68,+48:38:10.3,1.53,1.17
NGC4048,12:02:50.19,+18:00:56.1,0.67,0.52
NGC4049,12:02:54.70,+18:45:09.0,1.16,0.72
NGC4050,12:02:53.95,-16:22:25.0,3.43,2.14
NGC4051,12:03:09.61,+44:31:52.8,4.89,4.26
NGC4052,12:02:05.19,-63:13:24.5,5.1,
NGC4053,12:03:11.57,+19:43:43.8,1.06,0.62
NGC4054,12:03:13.10,+57:53:40.0,1.0,
NGC4054 NED01,12:03:12.46,+57:53:36.4,0.65,0.43
NGC4054 NED02,12:03:13.42,+57:53:53.0,0.43,0.19
NGC4054 NED03,12:03:13.83,+57:53:26.0,0.62,0.44
NGC4055,12:04:01.48,+20:13:56.4,0.92,0.79
NGC4056,12:03:57.77,+20:18:45.0,0.63,0.53
NGC4057,12:04:06.17,+20:14:06.3,1.29,0.99
NGC4058,12:03:49.06,+03:32:53.6,1.39,0.69
NGC4059,12:04:11.30,+20:24:35.4,,
NGC4060,12:04:01.00,+20:20:14.7,0.55,0.35
NGC4061,12:04:01.48,+20:13:56.4,,
NGC4062,12:04:03.83,+31:53:44.9,4.14,1.61
NGC4063,12:04:05.99,+01:50:49.1,0.92,0.4
NGC4064,12:04:11.16,+18:26:36.3,3.22,1.31
NGC4065,12:04:06.17,+20:14:06.3,,
NGC4066,12:04:09.42,+20:20:52.6,1.16,1.09
NGC4067,12:04:11.54,+10:51:15.8,1.13,0.82
NGC4068,12:04:00.78,+52:35:17.8,1.92,1.16
NGC4069,12:04:06.04,+20:19:25.6,0.49,0.35
NGC4070,12:04:11.30,+20:24:35.4,1.24,0.99
NGC4071,12:04:15.77,-67:18:36.4,1.05,
NGC4072,12:04:13.84,+20:12:35.0,0.44,0.22
NGC4073,12:04:27.07,+01:53:45.5,2.09,1.7
NGC4074,12:04:29.68,+20:18:58.4,0.55,0.31
NGC4075,12:04:37.83,+02:04:21.1,1.21,0.66
NGC4076,12:04:32.52,+20:12:17.8,0.87,0.79
NGC4077,12:04:38.05,+01:47:15.8,1.26,0.86
NGC4078,12:04:47.64,+10:35:44.1,1.17,0.58
NGC4079,12:04:49.85,-02:22:56.6,1.73,1.18
NGC4080,12:04:51.83,+26:59:33.1,1.23,0.58
NGC4081,12:04:33.91,+64:26:12.3,1.43,0.63
NGC4082,12:05:11.45,+10:40:14.2,0.78,0.35
NGC4083,12:05:14.05,+10:36:47.6,0.88,0.46
NGC4084,12:05:15.26,+21:12:52.0,1.08,1.07
NGC4085,12:05:22.71,+50:21:10.6,2.22,0.57
NGC4086,12:05:29.37,+20:14:48.3,1.17,0.87
NGC4087,12:05:35.33,-26:31:21.5,2.0,1.69
NGC4088,12:05:34.19,+50:32:20.5,7.01,2.65
NGC4089,12:05:37.43,+20:33:20.6,0.86,0.84
NGC4090,12:05:27.92,+20:18:31.5,1.12,0.5
NGC4091,12:05:40.09,+20:33:20.6,0.94,0.24
NGC4092,12:05:50.11,+20:28:37.2,1.01,0.99
NGC4093,12:05:51.47,+20:31:19.1,0.75,0.61
NGC4094,12:05:53.96,-14:31:35.1,4.4,1.51
NGC4095,12:05:54.22,+20:34:21.1,1.36,1.07
NGC4096,12:06:01.13,+47:28:42.4,5.65,1.43
NGC4097,12:06:02.51,+36:51:49.2,1.22,0.92
NGC4098,12:06:03.90,+20:36:22.0,1.2,
NGC4098 NED01,12:06:03.58,+20:36:29.1,1.32,0.85
NGC4098 NED02,12:06:04.22,+20:36:14.1,1.23,0.79
NGC4099,12:06:03.90,+20:36:22.0,,
NGC4100,12:06:08.45,+49:34:57.7,4.56,1.3
NGC4101,12:06:10.57,+25:33:25.2,1.18,0.74
NGC4102,12:06:22.99,+52:42:39.9,2.94,1.67
NGC4103,12:06:39.57,-61:15:00.3,7.8,
NGC4104,12:06:38.97,+28:10:27.1,2.5,1.09
NGC4105,12:06:40.77,-29:45:36.8,4.33,3.41
NGC4106,12:06:44.80,-29:46:05.9,4.14,3.33
NGC4107,12:04:47.64,+10:35:44.1,,
NGC4108,12:06:44.57,+67:09:47.1,1.63,1.33
NGC4108A,12:05:49.66,+67:15:07.5,1.28,0.56
NGC4108B,12:07:11.62,+67:14:06.6,1.33,1.02
NGC4109,12:06:51.12,+42:59:44.3,0.7,0.53
NGC4110,12:07:03.45,+18:31:54.2,1.31,0.65
NGC4111,12:07:03.13,+43:03:56.6,1.78,0.64
NGC4112,12:07:09.47,-40:12:29.4,1.7,0.99
NGC4113,12:07:08.48,+32:59:45.2,0.81,0.47
NGC4114,12:07:12.29,-14:11:07.7,2.16,1.07
NGC4115,12:07:09.55,+14:24:23.6,,
NGC4116,12:07:37.15,+02:41:25.8,2.57,1.49
NGC4117,12:07:46.11,+43:07:34.9,1.58,0.63
NGC4118,12:07:52.87,+43:06:39.8,0.69,0.38
NGC4119,12:08:09.62,+10:22:44.0,1.58,1.1
NGC4120,12:08:31.02,+69:32:41.4,1.57,0.38
NGC4121,12:07:56.63,+65:06:50.2,0.52,0.46
NGC4122,12:07:08.48,+32:59:45.2,,
NGC4123,12:08:11.11,+02:52:41.8,3.18,2.32
NGC4124,12:08:09.62,+10:22:44.0,,
NGC4125,12:08:06.02,+65:10:26.9,5.87,4.58
NGC4126,12:08:37.44,+16:08:34.0,0.81,0.61
NGC4127,12:08:26.36,+76:48:14.5,1.51,0.82
NGC4128,12:08:32.33,+68:46:03.4,2.21,0.67
NGC4129,12:08:53.22,-09:02:11.4,2.58,0.71
NGC4130,12:08:53.22,-09:02:11.4,,
NGC4131,12:08:47.29,+29:18:17.2,1.36,0.59
NGC4132,12:09:01.40,+29:15:00.4,1.14,0.41
NGC4133,12:08:49.96,+74:54:15.5,1.66,1.09
NGC4134,12:09:10.01,+29:10:36.9,1.85,0.79
NGC4135,12:09:08.81,+44:00:11.5,0.76,0.54
NGC4136,12:09:17.69,+29:55:39.4,2.34,2.18
NGC4137,12:09:17.51,+44:05:24.6,0.79,0.52
NGC4138,12:09:29.78,+43:41:07.1,2.92,1.64
NGC4139,12:04:34.03,+01:48:05.8,1.2,0.48
NGC4140,12:04:38.05,+01:47:15.8,,
NGC4141,12:09:47.32,+58:50:57.1,1.18,0.75
NGC4142,12:09:30.19,+53:06:17.8,1.76,0.91
NGC4143,12:09:36.06,+42:32:03.0,2.73,1.68
NGC4144,12:09:58.60,+46:27:25.8,5.24,1.0
NGC4145,12:10:01.52,+39:53:01.9,4.62,2.11
NGC4146,12:10:18.26,+26:25:50.7,1.29,1.17
NGC4147,12:10:06.17,+18:32:31.7,2.4,
NGC4148,12:10:07.97,+35:52:39.4,1.63,1.07
NGC4149,12:10:32.84,+58:18:14.9,1.37,0.27
NGC4150,12:10:33.65,+30:24:05.5,1.99,1.33
NGC4151,12:10:32.58,+39:24:20.6,2.88,2.21
NGC4152,12:10:37.50,+16:01:58.5,1.36,0.89
NGC4153,12:10:06.17,+18:32:31.7,,
NGC4154,12:10:32.84,+58:18:14.9,,
NGC4155,12:10:45.69,+19:02:27.0,1.24,1.05
NGC4156,12:10:49.61,+39:28:21.8,1.11,0.95
NGC4157,12:11:04.37,+50:29:04.8,6.22,1.14
NGC4158,12:11:10.17,+20:10:32.4,1.45,1.14
NGC4159,12:10:53.62,+76:07:33.1,1.36,0.55
NGC4160,12:12:01.74,+43:44:08.1,,
NGC4161,12:11:33.46,+57:44:15.0,1.06,0.68
NGC4162,12:11:52.47,+24:07:25.2,2.28,1.37
NGC4163,12:12:09.16,+36:10:09.1,1.67,1.12
NGC4164,12:12:05.46,+13:12:20.3,0.71,0.46
NGC4165,12:12:11.80,+13:14:47.5,1.24,0.67
NGC4166,12:12:09.56,+17:45:25.3,1.05,0.52
NGC4167,12:12:09.16,+36:10:09.1,,
NGC4168,12:12:17.27,+13:12:18.7,2.92,2.28
NGC4169,12:12:18.78,+29:10:45.9,1.64,0.81
NGC4170,12:12:13.24,+29:10:00.5,,
NGC4171,12:12:38.39,+29:13:28.2,,
NGC4172,12:12:14.89,+56:10:39.2,1.23,1.16
NGC4173,12:12:21.46,+29:12:25.4,2.34,0.52
NGC4174,12:12:26.89,+29:08:57.2,0.91,0.41
NGC4175,12:12:31.05,+29:10:06.4,1.61,0.33
NGC4176,12:12:36.83,-09:09:37.7,0.7,0.46
NGC4177,12:12:41.26,-14:00:52.4,1.82,1.27
NGC4178,12:12:46.45,+10:51:57.5,4.66,1.24
NGC4179,12:12:52.11,+01:17:58.9,4.48,1.22
NGC4180,12:13:03.05,+07:02:20.2,1.45,0.49
NGC4181,12:12:48.99,+52:54:11.9,1.12,0.77
NGC4182,12:13:03.05,+07:02:20.2,,
NGC4183,12:13:16.88,+43:41:54.9,4.29,0.63
NGC4184,12:13:32.59,-62:43:17.1,,
NGC4185,12:13:22.20,+28:30:39.5,1.85,1.26
NGC4186,12:14:06.53,+14:43:32.9,1.02,0.79
NGC4187,12:13:29.28,+50:44:29.4,1.64,1.05
NGC4188,12:14:07.36,-12:35:09.6,0.67,0.55
NGC4189,12:13:47.27,+13:25:29.3,2.2,1.79
NGC4190,12:13:44.77,+36:38:02.5,1.53,1.41
NGC4191,12:13:50.40,+07:12:03.2,1.52,1.23
NGC4192,12:13:48.29,+14:54:01.2,11.04,2.66
NGC4193,12:13:53.59,+13:10:22.3,2.23,0.99
NGC4194,12:14:09.47,+54:31:36.6,1.64,1.14
NGC4195,12:14:18.08,+59:36:55.6,1.51,1.32
NGC4196,12:14:29.75,+28:25:24.4,1.14,0.81
NGC4197,12:14:38.55,+05:48:20.6,2.84,0.73
NGC4198,12:14:22.05,+56:00:41.2,0.8,0.43
NGC4199,12:14:50.20,+59:54:27.0,1.1,
