id,ra,dec,maj_ax,min_ax
NGC205,00:40:22.08,+41:41:07.1,16.22,9.59
NGC206,00:40:31.30,+40:44:21.4,,
NGC207,00:39:40.71,-14:14:13.5,0.91,0.49
NGC208,00:40:17.58,+02:45:23.4,0.77,0.65
NGC209,00:39:03.60,-18:36:29.8,1.14,0.99
NGC210,00:40:35.02,-13:52:22.1,4.98,3.02
NGC211,00:39:39.53,+03:26:34.4,,
NGC212,00:40:13.33,-56:09:10.9,1.91,1.42
NGC213,00:41:10.00,+16:28:09.8,1.44,1.11
NGC214,00:41:28.03,+25:29:58.0,1.87,1.3
NGC215,00:40:48.87,-56:12:50.6,1.15,0.92
NGC216,00:41:27.15,-21:02:43.6,1.35,0.63
NGC217,00:41:33.89,-10:01:17.1,3.2,0.69
NGC218,00:46:31.99,+36:19:32.2,1.32,0.71
NGC219,00:42:11.31,+00:54:16.4,0.59,0.46
NGC220,00:40:29.89,-73:24:14.3,1.2,1.2
NGC221,00:42:41.83,+40:51:55.0,7.74,4.86
NGC222,00:40:43.71,-73:23:08.5,1.2,1.2
NGC223,00:42:15.88,+00:50:43.8,1.18,0.78
NGC224,00:42:44.35,+41:16:08.6,177.83,69.66
NGC225,00:43:36.38,+61:46:01.0,4.2,
NGC226,00:42:54.04,+32:34:51.5,0.79,0.78
NGC227,00:42:36.83,-01:31:43.6,1.91,1.44
NGC228,00:42:54.51,+23:30:11.0,0.89,0.81
NGC229,00:43:04.64,+23:30:32.8,1.08,0.48
NGC230,00:42:27.17,-23:37:43.7,1.3,0.28
NGC231,00:41:06.43,-73:21:08.7,1.8,1.8
NGC232,00:42:45.82,-23:33:40.9,0.98,0.7
NGC233,00:43:36.56,+30:35:13.2,1.25,1.11
NGC234,00:43:32.39,+14:20:33.2,1.57,1.22
NGC235,00:42:53.20,-23:32:36.0,2.0,
NGC0235A,00:42:52.81,-23:32:27.7,1.38,0.62
NGC0235B,00:42:53.60,-23:32:44.0,1.29,1.29
NGC236,00:43:27.54,+02:57:29.5,1.15,1.03
NGC237,00:43:27.84,-00:07:29.7,1.3,0.8
NGC238,00:43:25.75,-50:10:58.2,2.02,1.6
NGC239,00:44:37.51,-03:45:33.3,0.94,0.37
NGC240,00:45:01.93,+06:06:48.1,1.35,1.28
NGC241,00:43:31.53,-73:26:25.7,0.95,0.95
NGC242,00:43:33.78,-73:26:46.7,0.75,0.75
NGC243,00:46:00.87,+29:57:34.2,0.92,0.51
NGC244,00:45:46.43,-15:35:48.8,1.04,1.04
NGC245,00:46:05.39,-01:43:24.2,1.2,1.12
NGC246,00:47:03.36,-11:52:19.0,4.08,
NGC247,00:47:08.55,-20:45:37.4,19.68,5.55
NGC0247A,00:47:28.14,-20:23:51.5,0.52,0.25
NGC0247B,00:47:35.15,-20:25:43.3,1.05,0.42
NGC0247C,00:47:37.71,-20:27:10.1,0.55,0.2
NGC0247D,00:47:36.99,-20:29:09.6,0.61,0.25
NGC248,00:45:24.04,-73:22:47.3,1.4,1.1
NGC249,00:45:32.86,-73:04:48.3,1.1,0.7
NGC250,00:47:16.01,+07:54:36.1,1.28,0.68
NGC251,00:47:54.03,+19:35:48.6,1.73,1.02
NGC252,00:48:01.50,+27:37:25.1,1.62,1.16
NGC253,00:47:33.12,-25:17:17.6,26.79,4.58
NGC254,00:47:27.61,-31:25:18.3,2.77,1.8
NGC255,00:47:47.31,-11:28:07.3,2.04,1.85
NGC256,00:45:53.33,-73:30:24.6,0.9,0.9
NGC257,00:48:01.51,+08:17:49.5,1.83,1.32
NGC258,00:48:12.79,+27:39:25.9,0.51,0.42
NGC259,00:48:03.29,-02:46:31.2,2.86,1.09
NGC260,00:48:34.65,+27:41:32.8,0.76,0.68
NGC261,00:46:27.91,-73:06:13.1,1.3,1.1
NGC262,00:48:47.14,+31:57:25.1,1.17,0.62
NGC263,00:48:48.47,-13:06:26.6,0.8,0.4
NGC264,00:48:20.94,-38:14:03.7,1.26,0.47
NGC265,00:47:10.16,-73:28:37.8,1.2,1.2
NGC266,00:49:47.80,+32:16:39.8,2.92,2.83
NGC267,00:48:02.90,-73:16:26.5,2.0,1.7
NGC268,00:50:09.56,-05:11:37.4,1.42,0.93
NGC269,00:48:22.03,-73:31:53.5,1.2,1.2
NGC270,00:50:32.52,-08:39:05.9,1.77,1.24
NGC271,00:50:41.86,-01:54:36.9,2.38,1.28
NGC272,00:51:25.16,+35:49:18.3,,
NGC273,00:50:48.45,-06:53:08.5,1.96,0.54
NGC274,00:51:01.86,-07:03:25.0,1.27,1.08
NGC275,00:51:04.20,-07:04:00.0,1.75,1.39
NGC276,00:52:06.57,-22:40:48.5,1.1,0.36
