designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
UGC 12350,N/A,PGC 70433,Galaxy,PEG,14,14.6,2.6',23 05.3,+16 51,346.32500000000005,16.85,Sm
UGC 12588,N/A,MCG +07-48-005,Galaxy,AND,13.2,14.2,1.9',23 24.7,+41 20,351.17499999999995,41.333333333333336,Sdm
UGC 12613,N/A,Pegasus Dwarf,Galaxy,PEG,12,-,4.6',23 28.6,+14 45,352.15,14.75,Ir+
UGC 12632,N/A,PGC 71596,Galaxy,AND,12.1,15.1,4.9',23 30.0,+41 00,352.5,41.0,Sm
UGC 12682,N/A,PGC 71801,Galaxy,PEG,14,14.3,1.4',23 34.9,+18 14,353.725,18.233333333333334,Irp+
UGC 12710,N/A,PGC 71932,Galaxy,PEG,13.9,13.9,1.3',23 37.5,+18 00,354.375,18.0,Irp+
UGC 12732,N/A,PGC 72087,Galaxy,PEG,13.3,15.5,3',23 40.6,+26 14,355.15,26.233333333333334,Sm
UGC 12843,N/A,MCG +03-60-039,Galaxy,PEG,13.3,14.5,3',23 55.6,+17 56,358.9,17.933333333333334,S(B)dm
UGC 12856,N/A,PGC 72977,Galaxy,PEG,13.9,-,1.6',23 56.8,+16 50,359.2,16.833333333333332,Ir+
UGCA  205,N/A,Sextans A,Galaxy,SEX,11.5,15,5.9',10 11.0,-04 43,152.75,-4.716666666666667,Ir
