designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
PK 149- 1.1,N/A,Kr 2-1,Brt Neb,PER,-,-,84'',03 51.6,+51 29,57.9,51.483333333333334,2
PK 151+ 2.1,N/A,SH2-208,Brt Neb,CAM,-,-,4.0',04 19.8,+53 06,64.95,53.1,E
PK 164+31.1,N/A,PNG 164.8+31.1,Pln Neb,LYN,14,-,6.3',07 57.8,+53 25,119.44999999999999,53.416666666666664,4
PK 169-0.1,N/A,IC 2120,Pln Neb,AUR,12,-,60.0'',05 18.2,+37 34,79.55000000000001,37.56666666666667,N/A
PK 171-25.1,N/A,Baade 1,Pln Neb,TAU,13.9,14.8,48.0'',03 53.5,+19 28,58.375,19.466666666666665,4
PK 173- 5.1,N/A,K2- 1;SS 38,Pln Neb,AUR,13.7,15.5,2.2',05 08.1,+30 48,77.02499999999999,30.8,3
PK 189+ 7.1,N/A,M1- 7,Pln Neb,GEM,13,9.3,38'',06 37.4,+24 01,99.35,24.016666666666666,2
PK 190-17.1,N/A,J 320,Pln Neb,ORI,12.9,6.9,26.0'',05 05.6,+10 42,76.4,10.7,2(4)
PK 193- 9.1,N/A,Haro 3-75,Pln Neb,TAU,13.9,11.9,24'',05 40.7,+12 21,85.17500000000001,12.35,N/A
PK 194+ 2.1,N/A,J 900,Pln Neb,GEM,12.4,7.7,12'',06 26.0,+17 47,96.5,17.783333333333335,3b(2)
PK 195- 0.1,N/A,Sh2-266,Brt Neb,ORI,-,-,80'',06 18.9,+15 17,94.72500000000001,15.283333333333333,3
PK 196- 1.1,N/A,Sh2-267,Brt Neb,ORI,-,-,350'',06 15.8,+14 16,93.95,14.266666666666667,3
PK 197- 2.1,N/A,Sh2-271,Brt Neb,ORI,-,-,2.0',06 15.2,+12 22,93.8,12.366666666666667,3b
PK 198- 6.1,N/A,Abell 12,Pln Neb,ORI,13.9,11.3,37'',06 02.4,+09 39,90.6,9.65,N/A
PK 204+ 4.1,N/A,K2- 2,Pln Neb,MON,12.5,-,6.2',06 52.6,+09 58,103.15,9.966666666666667,3
PK 205+14.1,N/A,Abell 21,Pln Neb,GEM,11.3,16.4,10',07 29.0,+13 15,112.25,13.25,N/A
PK 212+ 4.1,N/A,M1- 9,Pln Neb,MON,13.5,9.9,12.0'',07 05.3,+02 47,106.32499999999999,2.783333333333333,1
PK 215-30.1,N/A,Abell  7,Pln Neb,LEP,13.2,-,12.7',05 03.2,-15 36,75.80000000000001,-15.6,3a
PK 217+14.1,N/A,Abell 24,Pln Neb,CMI,13.6,17.8,6.0',07 51.7,+03 00,117.925,3.0,4(3)
PK 219+31.1,N/A,Abell 31,Pln Neb,CNC,12.2,-,16.8',08 54.2,+08 55,133.55,8.916666666666666,3a
PK 223- 2.1,N/A,K1- 8,Brt Neb,MON,13.1,-,79'',07 03.4,-10 34,105.85,-10.566666666666666,2
PK 226- 3.1,N/A,PB 1,Pln Neb,CMA,13.3,9.4,10'',07 02.7,-13 42,105.675,-13.7,N/A
PK 226+ 5.1,N/A,M1-16,Pln Neb,MON,13.9,6.8,3'',07 37.3,-09 39,114.32499999999999,-9.65,?(4)
PK 228+ 5.1,N/A,M1-17,Pln Neb,PUP,13.5,7,3'',07 40.4,-11 33,115.10000000000001,-11.55,N/A
PK 229- 2.1,N/A,K1-10,Pln Neb,CMA,13.5,-,86'',07 12.5,-16 06,108.125,-16.1,3b
PK 232- 1.1,N/A,M1-13,Pln Neb,CMA,12.6,9,42.0'',07 21.2,-18 08,110.3,-18.133333333333333,N/A
PK 234- 0.1,N/A,M1-15,Pln Neb,PUP,14,-,1'',07 31.8,-19 27,112.95,-19.45,N/A
PK 235- 1.1,N/A,M1-14,Pln Neb,CMA,13.4,-,13'',07 27.9,-20 13,111.975,-20.216666666666665,N/A
PK 238+34.1,N/A,Abell 33,Pln Neb,HYA,13.4,-,4.5',09 39.1,-02 48,144.775,-2.8,2b
PK 241+ 2.1,N/A,M3- 4,Pln Neb,PUP,11.8,8.7,20.0'',07 55.2,-23 38,118.8,-23.633333333333333,4
PK 242-11.1,N/A,M3- 1,Pln Neb,CMA,12.2,8.3,30.0'',07 02.8,-31 35,105.7,-31.583333333333332,?(6)
PK 248- 8.1,N/A,M4- 2,Pln Neb,PUP,13,8,8'',07 28.9,-35 45,112.225,-35.75,2
PK 248+ 8.1,N/A,He2- 10,Galaxy,ANT,-,-,0.2',09 36.2,-26 24,144.05,-26.4,N/A
PK 249- 5.1,N/A,Abell 23,Pln Neb,PUP,13.1,-,54'',07 43.3,-34 45,115.825,-34.75,N/A
PK 254+ 5.1,N/A,M3- 6,Pln Neb,PYX,11,6.5,19.0'',08 40.7,-32 23,130.17499999999998,-32.38333333333333,2a
PK 259+ 0.1,N/A,He2- 11,Pln Neb,VEL,13.8,-,75.0'',08 37.1,-39 26,129.275,-39.43333333333333,N/A
PK 263- 5.1,N/A,PB 2,Pln Neb,VEL,13.6,6.7,3.0'',08 20.8,-46 22,125.20000000000002,-46.36666666666667,N/A
PK 264- 8.1,N/A,He2-  7,Pln Neb,VEL,12.4,11.2,45.0'',08 11.5,-48 43,122.875,-48.71666666666667,2
PK 264-12.1,N/A,He2-  5,Pln Neb,CAR,12.3,5.8,3.0'',07 47.4,-51 16,116.85,-51.266666666666666,N/A
PK 269- 3.1,N/A,PB 3,Pln Neb,VEL,13.6,8.8,7'',08 54.1,-50 32,133.525,-50.53333333333333,N/A
PK 274+ 2.2,N/A,He2- 35,Pln Neb,VEL,13.7,-,5'',09 41.6,-49 58,145.4,-49.96666666666667,N/A
PK 274+ 3.1,N/A,He2- 37,Pln Neb,VEL,14,-,23.0'',09 47.5,-48 58,146.875,-48.96666666666667,N/A
PK 275- 2.2,N/A,He2- 29,Pln Neb,VEL,13.3,-,14.0'',09 24.8,-54 36,141.20000000000002,-54.6,N/A
PK 275- 4.1,N/A,PB 4,Pln Neb,VEL,12.9,8.9,14'',09 14.9,-54 53,138.725,-54.88333333333333,N/A
PK 275- 4.2,N/A,He2- 21,Pln Neb,VEL,13.5,6.5,2.0'',09 13.9,-55 28,138.47500000000002,-55.46666666666667,N/A
PK 278- 6.1,N/A,He2- 26,Pln Neb,CAR,11.9,-,10'',09 19.6,-59 12,139.9,-59.2,N/A
PK 278+ 5.1,N/A,He2- 43,Pln Neb,VEL,13.9,-,15'',10 13.3,-50 20,153.32500000000002,-50.333333333333336,N/A
PK 279- 3.1,N/A,He2- 36,Pln Neb,CAR,13.3,11.2,25'',09 43.5,-57 17,145.875,-57.28333333333333,N/A
PK 283+ 2.1,N/A,Mayall 60,Pln Neb,VEL,12.7,8.2,8'',10 31.6,-55 20,157.9,-55.333333333333336,N/A
PK 283+25.1,N/A,K1-22,Pln Neb,HYA,12.1,-,3.0',11 26.7,-34 22,171.675,-34.36666666666667,N/A
PK 285+ 1.1,N/A,Peimbert 1-1,Pln Neb,VEL,14,7.5,3.0'',10 38.6,-56 47,159.64999999999998,-56.78333333333333,N/A
PK 286+ 2.1,N/A,He2- 55,Pln Neb,VEL,12.7,-,18'',10 48.8,-56 03,162.2,-56.05,N/A
PK 288+ 0.1,N/A,Hoffleit 38,Pln Neb,CAR,12.4,-,30'',10 54.6,-59 10,163.65,-59.166666666666664,4
PK 290+ 7.1,N/A,Fleming 1,Pln Neb,CEN,11.4,8.7,30'',11 28.6,-52 56,172.15,-52.93333333333333,3(4)
PK 292+ 4.1,N/A,PB 8,Pln Neb,CEN,12.8,7.6,5'',11 33.4,-57 06,173.35,-57.1,N/A
PK 303+40.1,N/A,Abell 35,Pln Neb,HYA,12,18.9,12.8',12 53.6,-22 52,193.39999999999998,-22.866666666666667,3a
PK 311+ 2.1,N/A,He2-102,Pln Neb,CEN,13.5,-,9'',13 58.2,-58 55,209.55,-58.916666666666664,N/A
PK 316+ 8.1,N/A,He2-108,Pln Neb,CEN,13.7,10.1,12'',14 18.2,-52 11,214.54999999999998,-52.18333333333333,N/A
PK 318+41.1,N/A,Abell 36,Pln Neb,VIR,13,15.7,6.0',13 40.6,-19 53,205.14999999999998,-19.883333333333333,3b(3a)
PK 319+ 6.1,N/A,He2-112,Pln Neb,LUP,13.2,10.2,15.0'',14 40.5,-52 35,220.125,-52.583333333333336,N/A
PK 322- 2.1,N/A,Menzel 1,Pln Neb,NOR,12.5,10.2,50'',15 34.2,-59 09,233.55,-59.15,4(6)
PK 325- 4.1,N/A,He2-141,Pln Neb,NOR,12.4,10.3,16'',15 59.1,-58 24,239.77499999999998,-58.4,N/A
PK 326- 6.1,N/A,He2-151,Pln Neb,NOR,12.2,-,3'',16 15.7,-59 54,243.925,-59.9,N/A
PK 327- 7.1,N/A,He2-163,Pln Neb,NOR,13.9,-,22'',16 29.6,-59 09,247.39999999999998,-59.15,N/A
PK 327+13.1,N/A,He2-118,Pln Neb,LUP,12.7,7.3,5'',15 06.2,-43 01,226.55,-43.016666666666666,N/A
PK 329- 2.2,N/A,Menzel 2;V V 78,Pln Neb,NOR,11.9,9.9,25'',16 14.5,-54 57,243.625,-54.95,4(3)
PK 329+ 2.1,N/A,Shapley 1,Pln Neb,NOR,13.6,-,76'',15 51.7,-51 31,237.92499999999998,-51.516666666666666,4
PK 330- 3.1,N/A,He2-159,Pln Neb,NOR,13.9,-,16'',16 24.3,-54 36,246.07500000000002,-54.6,N/A
PK 330+ 4.1,N/A,Cannon 1-1,Pln Neb,NOR,12.9,-,1.0'',15 51.3,-48 45,237.82500000000002,-48.75,1
PK 331- 1.1,N/A,Menzel 3,Pln Neb,NOR,13.8,-,25.0'',16 17.2,-51 59,244.29999999999998,-51.983333333333334,6
PK 331- 3.2,N/A,He2-165,Pln Neb,NOR,13.7,-,54'',16 30.0,-54 10,247.5,-54.166666666666664,N/A
PK 331- 5.1,N/A,He2-172,Pln Neb,NOR,11.9,-,5'',16 38.0,-55 42,249.5,-55.7,N/A
PK 332- 3.1,N/A,He2-164,Pln Neb,NOR,13.7,-,16'',16 29.9,-53 23,247.47500000000002,-53.38333333333333,N/A
PK 332- 4.1,N/A,He2- 170,Pln Neb,NOR,13.5,-,5'',16 35.4,-53 50,248.85,-53.833333333333336,N/A
PK 333+ 1.1,N/A,He2-152,Pln Neb,NOR,13.7,-,13'',16 15.3,-49 14,243.825,-49.233333333333334,N/A
PK 336- 5.1,N/A,He2-186,Pln Neb,ARA,13.3,-,3'',16 59.6,-51 42,254.89999999999998,-51.7,N/A
PK 336- 6.1,N/A,Peimbert 14,Pln Neb,ARA,12.6,-,8'',17 06.3,-52 30,256.575,-52.5,N/A
PK 342- 2.1,N/A,He2-198,Pln Neb,SCO,13,-,25'',17 06.4,-44 13,256.59999999999997,-44.21666666666667,4
