designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
Ru 144,N/A,N/A,Opn CL,SCT,-,-,5',18 32.5,-11 25,278.125,-11.416666666666666,IV 1p :b
Ru 145,N/A,N/A,Opn CL,SGR,-,-,35',18 50.3,-18 12,282.57500000000005,-18.2,III 1 m
Ru 148,N/A,N/A,Opn CL,PER,9.5,-,3',04 46.5,+44 43,71.625,44.71666666666667,IV 2 p
Ru 150,N/A,N/A,Opn CL,CMA,-,-,2.5',07 05.9,-28 25,106.47500000000001,-28.416666666666668,II 2p :b
Ru 151,N/A,N/A,Opn CL,PUP,-,-,15',07 41.1,-16 17,115.275,-16.283333333333335,IV 3 m
Ru 152,N/A,N/A,Opn CL,PUP,-,-,1.7',07 54.5,-38 14,118.625,-38.233333333333334,II 1m:b
Ru 153,N/A,N/A,Opn CL,PUP,-,-,2.8',08 00.3,-30 14,120.07500000000002,-30.233333333333334,IV 2pe:a
Ru 154,N/A,N/A,Opn CL,PUP,-,-,0.6',08 01.7,-44 25,120.42500000000001,-44.416666666666664,III 2p :b
Ru 155,N/A,N/A,Opn CL,PUP,-,-,2',08 05.0,-31 46,121.25000000000001,-31.766666666666666,IV 1p :b
Ru 157,N/A,N/A,Opn CL,PYX,-,-,17',08 29.9,-19 06,127.475,-19.1,IV 2 p
Ru 158,N/A,N/A,Opn CL,PYX,-,-,2.5',08 52.4,-37 34,133.1,-37.56666666666667,III 2p :b
Ru 160,N/A,N/A,Opn CL,VEL,-,-,1.7',09 55.5,-47 01,148.875,-47.016666666666666,I 3p :a
Ru 165,N/A,N/A,Opn CL,CRU,-,-,22',12 28.5,-56 26,187.125,-56.43333333333333,IV 1 p
Ru 167,N/A,N/A,Opn CL,CEN,-,-,14',14 18.2,-58 58,214.54999999999998,-58.96666666666667,IV 2 p
Ru 168,N/A,N/A,Opn CL,SGR,-,-,3.4',17 52.8,-28 27,268.2,-28.45,IV 1p :b
Ru 170,N/A,N/A,Opn CL,SCT,-,-,2.5',18 25.2,-10 01,276.3,-10.016666666666667,IV 1m:b
Ru 171,N/A,N/A,Opn CL,SCT,-,-,6',18 32.6,-16 02,278.15,-16.033333333333335,III 1r :b
Ru 172,N/A,N/A,Opn CL,CYG,-,-,4',20 11.6,+35 36,302.9,35.6,III 2pn:b
Ru 173,N/A,N/A,Opn CL,CYG,-,-,50',20 41.8,+35 33,310.45,35.55,III 3 p
Ru 174,N/A,N/A,Opn CL,CYG,-,-,5',20 43.5,+37 02,310.875,37.03333333333333,IV 1p :b
Ru 175,N/A,N/A,Opn CL,CYG,-,-,9',20 45.4,+35 31,311.35,35.516666666666666,III 2 p
Ru 176,N/A,N/A,Opn CL,NOR,-,-,N/A,16 14.9,-51 20,243.72500000000002,-51.333333333333336,N/A
