designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
NGC  115,N/A,ESO 350-17,Galaxy,SCL,12.9,13.4,1.9',00 26.8,-33 41,6.692833333333334,-33.67708333333333,SBbc
NGC  118,N/A,UGC   264,Galaxy,CET,14,12.8,0.7',00 27.3,-01 47,6.817583333333333,-1.780138888888889,Compact
NGC  119,N/A,ESO 150- 8,Galaxy,PHE,13.1,13,1',00 27.0,-56 59,6.7400416666666665,-56.97805555555556,E-SO
NGC  120,N/A,UGC   267,Galaxy,CET,13.4,13.3,1.5',00 27.5,-01 31,6.875333333333334,-1.5134722222222223,SBO
NGC  124,N/A,UGC   271,Galaxy,CET,13,13,1.4',00 27.9,-01 49,6.968166666666667,-1.8101944444444444,Sc
NGC  125,N/A,UGC   286,Galaxy,PSC,12.1,13,1.8',00 28.8,+02 50,7.209125,2.838861111111111,Sa Ring
NGC  128,N/A,UGC   292,Galaxy,PSC,11.8,12.7,2.8',00 29.2,+02 52,7.312749999999999,2.864055555555556,SO Pec
NGC  129,N/A,OCL  294,Opn CL,CAS,6.5,-,21',00 30.0,+60 13,7.492458333333333,60.21116666666667,IV 2 p
NGC  131,N/A,ESO 350-21,Galaxy,SCL,13.2,13.1,1.8',00 29.6,-33 16,7.4105,-33.25975,SBb
NGC  132,N/A,UGC   301,Galaxy,CET,12.6,13.6,1.9',00 30.2,+02 06,7.544624999999999,2.0934444444444447,SBbc
NGC  133,N/A,OCL  296,Opn CL,CAS,9.4,-,7',00 31.3,+63 21,7.820666666666668,63.35261111111111,IV 1 p
NGC  134,N/A,ESO 350-23,Galaxy,SCL,10.4,13.3,8.4',00 30.4,-33 15,7.591541666666667,-33.24402777777778,SBbc
NGC  136,N/A,OCL  295,Opn CL,CAS,11.5,-,1.2',00 31.5,+61 31,7.878291666666667,61.50925,II 2 p
NGC  137,N/A,UGC   309,Galaxy,PSC,12.8,13.2,1.3',00 31.0,+10 12,7.742083333333333,10.208416666666666,SO
NGC  138,N/A,UGC   308,Galaxy,PSC,13.6,13.1,1.3',00 31.0,+05 10,7.746833333333333,5.159750000000001,Sa
NGC  140,N/A,UGC   311,Galaxy,AND,13.2,13.8,1.5',00 31.3,+30 47,7.8352916666666665,30.7925,SBc Ring
NGC  142,N/A,ESO 473-21,Galaxy,CET,13.8,13.1,1.1',00 31.1,-22 37,7.783666666666668,-22.618666666666666,SBb
NGC  144,N/A,ESO 473-23,Galaxy,CET,13.7,13,0.8',00 31.3,-22 39,7.836125000000001,-22.645722222222222,Sc
NGC  145,N/A,Arp  19,Galaxy,CET,12.7,13.5,1.8',00 31.8,-05 09,7.9405833333333335,-5.152638888888889,SBd
NGC  146,N/A,OCL  299,Opn CL,CAS,9.1,-,7',00 32.9,+63 19,8.266416666666666,63.309,IV 3 p
NGC  147,N/A,UGC   326;D3,Galaxy,CAS,9.5,14.5,13.5',00 33.2,+48 30,8.3005,48.50875,dE4
NGC  148,N/A,ESO 410-20,Galaxy,SCL,12.2,12.6,2',00 34.3,-31 47,8.564583333333333,-31.786,Sa
NGC  149,N/A,UGC   332,Galaxy,AND,13.7,13.5,1.2',00 33.8,+30 43,8.459416666666668,30.723416666666665,SO
NGC  150,N/A,A 7,Galaxy,SCL,11.4,13.4,3.9',00 34.3,-27 48,8.564499999999999,-27.803583333333336,SBb
NGC  151,N/A,NGC  153,Galaxy,CET,11.6,13.4,3.8',00 34.0,-09 42,8.511624999999999,-9.705333333333332,SBbc
NGC  153,N/A,NGC  151,Galaxy,CET,11.6,-,3.8',00 34.0,-09 42,8.511624999999999,-9.705333333333332,SBbc
NGC  154,N/A,MCG - 2- 2- 53,Galaxy,CET,14,-,1.1',00 34.3,-12 39,8.581125,-12.656305555555555,Elliptical
NGC  155,N/A,MCG - 2- 2- 55,Galaxy,CET,13.5,-,1.7',00 34.7,-10 46,8.667,-10.7665,SO
NGC  157,N/A,MCG - 2- 2- 56,Galaxy,CET,10.4,12.9,4.1',00 34.8,-08 24,8.694833333333333,-8.396444444444445,SBbc
NGC  159,N/A,ESO 150-11,Galaxy,PHE,13.8,13.1,1.4',00 34.6,-55 47,8.648041666666668,-55.78997222222222,SBO-a
NGC  160,N/A,UGC   356,Galaxy,AND,12.6,14.3,2.9',00 36.1,+23 57,9.016916666666665,23.95788888888889,Sa Ring
NGC  163,N/A,MCG - 2- 2- 66,Galaxy,CET,12.7,13.4,1.6',00 36.0,-10 07,8.999291666666666,-10.121694444444445,E0
NGC  165,N/A,MCG - 2- 2- 69,Galaxy,CET,13.1,13.7,1.6',00 36.5,-10 06,9.1205,-10.106166666666667,SBbc
NGC  167,N/A,ESO 473-29,Galaxy,CET,13.6,13.1,1',00 35.4,-23 23,8.846208333333335,-23.375,SBc
NGC  168,N/A,ESO 474- 4,Galaxy,CET,13.8,12.3,1.2',00 36.6,-22 36,9.161083333333332,-22.5935,Sa
NGC  169,N/A,UGC   365;Arp 282,Galaxy,AND,13.2,-,1.8',00 36.9,+23 59,9.215,23.990916666666667,Sb
NGC  171,N/A,NGC  175,Galaxy,CET,12.9,-,2.1',00 37.4,-19 56,9.339708333333334,-19.93425,SBab
NGC  172,N/A,ESO 474- 5,Galaxy,CET,13.4,12.9,2',00 37.2,-22 35,9.306708333333335,-22.587027777777777,SBbc
NGC  173,N/A,UGC   369,Galaxy,CET,13,15.1,3.2',00 37.2,+01 57,9.301958333333335,1.94225,Sc
NGC  174,N/A,ESO 411- 1,Galaxy,SCL,12.8,12.4,1.4',00 37.0,-29 29,9.245583333333332,-29.477833333333333,SBO-a
NGC  175,N/A,NGC  171,Galaxy,CET,12.2,13.5,2.1',00 37.4,-19 56,9.339708333333334,-19.93425,SBab
NGC  177,N/A,ESO 474- 6,Galaxy,CET,13.2,13.2,2.2',00 37.6,-22 33,9.393083333333333,-22.54925,Sab Ring
NGC  178,N/A,IC   39,Galaxy,CET,12.6,13.2,2.1',00 39.1,-14 10,9.785,-14.172833333333333,SB/P
NGC  179,N/A,ESO 540- 7,Galaxy,CET,13.3,12.8,0.9',00 37.8,-17 51,9.442833333333333,-17.84947222222222,E-SO
NGC  180,N/A,UGC   380,Galaxy,PSC,12.9,14.4,2.4',00 38.0,+08 38,9.490416666666667,8.635194444444444,SBbc
NGC  182,N/A,UGC   382,Galaxy,PSC,12.4,13.6,1.9',00 38.2,+02 44,9.551583333333333,2.728555555555556,SBa
NGC  183,N/A,UGC   387,Galaxy,AND,12.7,14.1,2.1',00 38.5,+29 31,9.622458333333332,29.511222222222223,Elliptical
NGC  185,N/A,UGC   396,Galaxy,CAS,9.2,14.3,12.5',00 39.0,+48 20,9.741541666666667,48.33738888888889,dE0
NGC  186,N/A,UGC   390,Galaxy,PSC,13.4,13.4,1.4',00 38.4,+03 10,9.605416666666665,3.166444444444444,SBO-a
NGC  187,N/A,MCG - 3- 2- 34,Galaxy,CET,13.3,-,1.3',00 39.5,-14 39,9.876708333333335,-14.656305555555555,Sc
NGC  188,N/A,OCL  309,Opn CL,CEP,8.1,-,14',00 47.5,+85 14,11.864708333333333,85.26963888888889,II 2 r
NGC  189,N/A,OCL  301,Opn CL,CAS,8.8,-,3.7',00 39.6,+61 05,9.89875,61.09447222222222,III 2 p
NGC  192,N/A,UGC   401,Galaxy,CET,12.6,13.1,1.9',00 39.2,+00 52,9.805958333333335,0.8643333333333333,SBa
NGC  193,N/A,UGC   408,Galaxy,PSC,12.2,12.7,1.4',00 39.3,+03 20,9.827458333333333,3.331111111111111,S(B)0
NGC  194,N/A,UGC   407,Galaxy,PSC,12.2,13,1.6',00 39.3,+03 02,9.82675,3.037444444444444,E1
NGC  196,N/A,UGC   405,Galaxy,CET,14,-,1.3',00 39.3,+00 55,9.824333333333334,0.9127500000000001,SBO
