designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
B205,N/A,LDN 1450,Drk Neb,PER,--,--,15',03 28.0,+31 06,52.0,31.1,5 Ir
B206,N/A,LDN 1450,Drk Neb,ARI,--,--,5',03 29.1,+30 11,52.275,30.183333333333334,5 Ir
B225,N/A,LDN 1583,Drk Neb,ORI,--,--,35',05 29.0,+11 36,82.25,11.6,5 Ir
B228,N/A,N/A,Drk Neb,LUP,--,--,240',15 45.5,-34 24,236.375,-34.4,6 Ir
B231,N/A,SL 24,Drk Neb,SCO,--,--,50',16 37.5,-35 12,249.375,-35.2,6 Ir
B233,N/A,SL 25,Drk Neb,SCO,--,--,55',16 44.1,-35 21,251.02499999999998,-35.35,5 Ir
B235,N/A,SL 15,Drk Neb,SCO,--,--,7',16 46.6,-44 30,251.65,-44.5,6 E
B244,N/A,LDN 1736,Drk Neb,OPH,--,--,20',17 10.1,-28 24,257.525,-28.4,5 Ir
B252,N/A,LDN 1698,Drk Neb,SCO,--,--,20',17 15.2,-32 13,258.8,-32.21666666666667,5 Ir
B256,N/A,LDN 1749,Drk Neb,OPH,--,--,50',17 22.3,-28 51,260.575,-28.85,5 Ir
B257,N/A,N/A,Drk Neb,SCO,--,--,10',17 22.0,-35 35,260.5,-35.583333333333336,5 Ir
B259,N/A,LDN  177,Drk Neb,OPH,--,--,30',17 22.0,-19 19,260.5,-19.316666666666666,4 Ir
B263,N/A,SL 22,Drk Neb,SCO,--,--,30',17 26.3,-42 38,261.575,-42.63333333333333,5 Ir
B268;270,N/A,LDN  178;185,Drk Neb,OPH,--,--,120',17 32.0,-20 32,263.0,-20.533333333333335,5 Ir
B283,N/A,N/A,Drk Neb,SCO,--,--,90',17 51.3,-33 53,267.825,-33.88333333333333,5 Ir
B287,N/A,N/A,Drk Neb,SCO,--,--,25',17 54.4,-35 12,268.6,-35.2,5 Ir
B303,N/A,LDN  210,Drk Neb,SGR,--,--,1',18 09.2,-24 07,272.3,-24.116666666666667,5 S
B312,N/A,LDN  379,Drk Neb,SCT,--,--,100',18 30.9,-15 08,277.725,-15.133333333333333,4 E
B314,N/A,LDN  445,Drk Neb,SCT,--,--,35',18 37.7,-09 37,279.425,-9.616666666666667,5 Ir
B318,N/A,N/A,Drk Neb,SCT,--,--,90',18 49.7,-06 24,282.425,-6.4,2 Ir
B334;336-7,N/A,LDN 701;702;705,Drk Neb,AQL,--,--,40',19 36.8,+12 27,294.2,12.45,4 Ir
B335,N/A,LDN  663,Drk Neb,AQL,--,--,4',19 36.9,+07 34,294.22499999999997,7.566666666666666,6 E G
B343,N/A,LDN  880,Drk Neb,CYG,--,--,10',20 13.5,+40 16,303.375,40.266666666666666,5 Ir G
B346,N/A,LDN  906,Drk Neb,CYG,--,--,10',20 26.7,+43 45,306.675,43.75,6 K
B347,N/A,LDN  889,Drk Neb,CYG,--,--,10',20 28.4,+39 55,307.09999999999997,39.916666666666664,5 Ir
B348,N/A,LDN 906,Drk Neb,CYG,--,--,240',20 36.8,+42 01,309.2,42.016666666666666,3 Ir
B350,N/A,N/A,Drk Neb,CYG,--,--,3',20 49.1,+45 53,312.27500000000003,45.88333333333333,6 C
B352,N/A,N/A,Drk Neb,CYG,--,--,20',20 57.1,+45 22,314.27500000000003,45.36666666666667,5 Ir
B361,N/A,LDN  970,Drk Neb,CYG,--,--,17',21 12.9,+47 22,318.225,47.36666666666667,4 C G
B362,N/A,LDN 1017,Drk Neb,CYG,--,--,15',21 24.0,+50 10,321.0,50.166666666666664,5 E G
B364,N/A,LDN 1074,Drk Neb,CYG,--,--,40',21 33.6,+54 33,323.4,54.55,5 Ir
B365,N/A,LDN 1090,Drk Neb,CEP,--,--,22',21 34.9,+56 43,323.725,56.71666666666667,4 S
B367,N/A,LDN 1113,Drk Neb,CEP,--,--,3',21 44.4,+57 12,326.09999999999997,57.2,5 Ir G
